,recipe,ingredient,quantity,unit
236,"Orzo met kalkoen, spinazie en geitenkaas",uien,150.0,g
237,"Orzo met kalkoen, spinazie en geitenkaas",knoflook,8.0,g
238,"Orzo met kalkoen, spinazie en geitenkaas",verse spinazie,600.0,g
239,"Orzo met kalkoen, spinazie en geitenkaas",verse geitenkaas naturel 45+,125.0,g
240,"Orzo met kalkoen, spinazie en geitenkaas",orzo pasta,300,g
241,"Orzo met kalkoen, spinazie en geitenkaas",kalkoenborstfilet,100.0,g
242,Andijviestamppot met tomaatjes en zalm,romaatjes,250.0,g
243,Andijviestamppot met tomaatjes en zalm,ongezouten roomboter,40,g
244,Andijviestamppot met tomaatjes en zalm,gedroogde dille,2.0,g
245,Andijviestamppot met tomaatjes en zalm,koelverse stamppotaardappel,900.0,g
246,Andijviestamppot met tomaatjes en zalm,halfvolle melk,200.0,g
247,Andijviestamppot met tomaatjes en zalm,fijngesneden andijvie,500.0,g
248,Andijviestamppot met tomaatjes en zalm,warmgerookte zalmfilet,250.0,g
249,"Groene-currysoep met groenten, noedels en taugé",thaise groene currypasta,70.0,g
250,"Groene-currysoep met groenten, noedels en taugé",fijngesneden prei,200.0,g
251,"Groene-currysoep met groenten, noedels en taugé",kokosmelk,400.0,g
252,"Groene-currysoep met groenten, noedels en taugé",diepvries gebroken sperzieboon,300.0,g
253,"Groene-currysoep met groenten, noedels en taugé",groentebouillon,10.0,g
254,"Groene-currysoep met groenten, noedels en taugé",kokend water,800.0,g
255,"Groene-currysoep met groenten, noedels en taugé",thaise zilvervliesrijst noedels,225.0,g
256,"Groene-currysoep met groenten, noedels en taugé",limoen,60.0,g
257,"Groene-currysoep met groenten, noedels en taugé",verse koriander,15.0,g
258,"Groene-currysoep met groenten, noedels en taugé",taugé,125.0,g
259,"Couscous met kip, bospeen en cranberrysaus",bospeen,600.0,g
260,"Couscous met kip, bospeen en cranberrysaus",rode ui,200.0,g
261,"Couscous met kip, bospeen en cranberrysaus",kipdijfilet,395.0,g
262,"Couscous met kip, bospeen en cranberrysaus",perssinaasappel,1,g
263,"Couscous met kip, bospeen en cranberrysaus",zonnebloemolie,48.0,g
264,"Couscous met kip, bospeen en cranberrysaus",cranberrysaus,75.0,g
265,"Couscous met kip, bospeen en cranberrysaus",couscous,300.0,g
266,"Couscous met kip, bospeen en cranberrysaus",verse peterselie,15.0,g
267,Lekkerbekje met aardappel en groente uit de oven,koelverse aardappelpartjes met schil,1000.0,g
268,Lekkerbekje met aardappel en groente uit de oven,arachideolie,20.0,g
269,Lekkerbekje met aardappel en groente uit de oven,diepvries lekkerbekje,400.0,g
270,Lekkerbekje met aardappel en groente uit de oven,Italiaanse roerbakmix cavolo nero,400.0,g
271,Lekkerbekje met aardappel en groente uit de oven,champignons,250.0,g
272,Lekkerbekje met aardappel en groente uit de oven,koelverse pestospread,90.0,g
281,Chicken pot pie,water,1000.0,g
282,Chicken pot pie,groentebouillon,20.0,g
283,Chicken pot pie,scharrelkipfilet,400.0,g
284,Chicken pot pie,middelgrote ui,100.0,g
285,Chicken pot pie,prei,400.0,g
286,Chicken pot pie,winterpeen,95.0,g
287,Chicken pot pie,champignons,250.0,g
288,Chicken pot pie,verse tijm,6.0,g
289,Chicken pot pie,verse platte peterselie,7.5,g
290,Chicken pot pie,milde olijfolie,24.0,g
291,Chicken pot pie,ongezouten roomboter,25,g
292,Chicken pot pie,bloem,25.0,g
293,Chicken pot pie,middelgroot ei,60.0,g
294,Chicken pot pie,diepvries deeg voor hartige taart,180.0,g
295,Rijstpudding uit de oven met gebakken peren,sinaasappel,170.0,g
296,Rijstpudding uit de oven met gebakken peren,pandanrijst,100,g
297,Rijstpudding uit de oven met gebakken peren,volle melk,800.0,g
298,Rijstpudding uit de oven met gebakken peren,kokosmelk,200.0,g
299,Rijstpudding uit de oven met gebakken peren,lichtbruine basterdsuiker,75.0,g
300,Rijstpudding uit de oven met gebakken peren,vanille-extract,2.0,g
301,Rijstpudding uit de oven met gebakken peren,gemalen kaneel,2.0,g
302,Rijstpudding uit de oven met gebakken peren,gepelde pistachenoten,20.0,g
303,Rijstpudding uit de oven met gebakken peren,peer,742.0,g
304,Rijstpudding uit de oven met gebakken peren,ongezouten roomboter,25,g
305,Eenpans-paddenstoelenstoof met deegballetjes,sjalot,60.0,g
306,Eenpans-paddenstoelenstoof met deegballetjes,knoflook,24.0,g
307,Eenpans-paddenstoelenstoof met deegballetjes,paddenstoelen voor pasta,400,g
308,Eenpans-paddenstoelenstoof met deegballetjes,kastanjechampignon,400.0,g
309,Eenpans-paddenstoelenstoof met deegballetjes,milde olijfolie,24.0,g
310,Eenpans-paddenstoelenstoof met deegballetjes,ongezouten roomboter,100,g
311,Eenpans-paddenstoelenstoof met deegballetjes,bloem,500.0,g
312,Eenpans-paddenstoelenstoof met deegballetjes,rode wijn,150.0,g
313,Eenpans-paddenstoelenstoof met deegballetjes,water,100.0,g
314,Eenpans-paddenstoelenstoof met deegballetjes,groentebouillon,10.0,g
315,Eenpans-paddenstoelenstoof met deegballetjes,zelfrijzend bakmeel,125.0,g
316,Portobellosteaks met aardappelpuree,portobello,760.0,g
317,Portobellosteaks met aardappelpuree,rode ui,100.0,g
318,Portobellosteaks met aardappelpuree,korianderzaad,12.0,g
319,Portobellosteaks met aardappelpuree,knoflook,32.0,g
320,Portobellosteaks met aardappelpuree,zoet gerookt paprikapoeder,12.0,g
321,Portobellosteaks met aardappelpuree,ketchup,24.0,g
322,Portobellosteaks met aardappelpuree,milde olijfolie,170.0,g
323,Portobellosteaks met aardappelpuree,kruimige aardappel,1000.0,g
324,Portobellosteaks met aardappelpuree,melk,150.0,g
325,Portobellosteaks met aardappelpuree,ongezouten roomboter,30,g
326,Portobellosteaks met aardappelpuree,rucola,85.0,g
327,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,oesterzwammen,600,g
328,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,barbecuesaus,200.0,g
329,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,citroen,32.5,g
330,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,knolselderij,250.0,g
331,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,verse bieslook,12.5,g
332,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,wittewijnazijn,75.0,g
333,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,dijonmosterd,30.0,g
334,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,milde olijfolie,35.0,g
335,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,crème fraîche,22.5,g
336,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,bakkersbolwit,200.0,g
337,Pumpkin spice latte,koelverse pompoenblokjes,200.0,g
338,Pumpkin spice latte,kaneel,4.0,g
339,Pumpkin spice latte,gemalen gember,2.0,g
340,Pumpkin spice latte,gemalen kruidnagel,1.0,g
341,Pumpkin spice latte,gemalen nootmuskaat,1.0,g
342,Pumpkin spice latte,verse slagroom,250.0,g
343,Pumpkin spice latte,fijne kristalsuiker,48.0,g
344,Pumpkin spice latte,volle melk,750.0,g
345,Pumpkin spice latte,vanille-extract,2.0,g
346,Pumpkin spice latte,espresso,234.0,g
347,Koffie-chocoladecake met kardamom,pure chocolade 70%,100.0,g
348,Koffie-chocoladecake met kardamom,Hazelnoten,95.0,g
349,Koffie-chocoladecake met kardamom,kardemompeulen,24.0,g
350,Koffie-chocoladecake met kardamom,ongezouten roomboter,120,g
351,Koffie-chocoladecake met kardamom,lichtbruine basterdsuiker,170.0,g
352,Koffie-chocoladecake met kardamom,middelgroot ei,180.0,g
353,Koffie-chocoladecake met kardamom,espresso,39.0,g
354,Koffie-chocoladecake met kardamom,zelfrijzend bakmeel,150.0,g
355,Koffie-chocoladecake met kardamom,bakpoeder,500.0,g
356,Koffie-chocoladecake met kardamom,water,110.0,g
357,Koffie-chocoladecake met kardamom,espresso-oploskoffie,39.0,g
358,Koffie-chocoladecake met kardamom,poedersuiker,12,g
359,Koffie-chocoladecake met kardamom,verse roomkaas,200.0,g
360,Stoofperencompote,Gieser Wildeman stoofpeer,500.0,g
361,Stoofperencompote,citroen,32.5,g
362,Stoofperencompote,soepele rode wijn,100.0,g
363,Stoofperencompote,water,50.0,g
364,Stoofperencompote,kristalsuiker,30.0,g
365,Stoofperencompote,kaneelstokje,5.0,g
366,Stoofperencompote,kruidnagel,2.0,g
367,Stoofperencompote,steranijs,5.0,g
368,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",rode ui,400.0,g
369,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",knolselderij,1000.0,g
370,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",peer,1484.0,g
371,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",verse tijm,7.5,g
372,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",milde olijfolie,24.0,g
373,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",knoflook,16.0,g
374,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",dijonmosterd,30.0,g
375,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",vloeibare honing,15.0,g
376,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",paprikapoeder,2,g
377,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",filetlapjes à la minute,350.0,g
378,Vegan curry van gestoofde groenten met naan,middelgrote ui,200.0,g
379,Vegan curry van gestoofde groenten met naan,knoflook,32.0,g
380,Vegan curry van gestoofde groenten met naan,pastinaak,800,g
381,Vegan curry van gestoofde groenten met naan,winterwortel,400.0,g
382,Vegan curry van gestoofde groenten met naan,witte bonen in pot,360.0,g
383,Vegan curry van gestoofde groenten met naan,milde olijfolie,60.0,g
384,Vegan curry van gestoofde groenten met naan,komijnzaad,12.0,g
385,Vegan curry van gestoofde groenten met naan,gemalen kurkuma (koenjit),4.0,g
386,Vegan curry van gestoofde groenten met naan,milde paprikapoeder,12.0,g
387,Vegan curry van gestoofde groenten met naan,kokosmelk light,800.0,g
388,Vegan curry van gestoofde groenten met naan,water,200.0,g
389,Vegan curry van gestoofde groenten met naan,zonnatura groentebouillontablet,1.0,g
390,Vegan curry van gestoofde groenten met naan,volkorenmeel,350.0,g
391,Vegan curry van gestoofde groenten met naan,bakpoeder,250.0,g
392,Vegan curry van gestoofde groenten met naan,yoghurt,450.0,g
393,Vegan curry van gestoofde groenten met naan,zout,2.0,g
394,Hutspot met hertenbiefstuk,hertenbiefstuk,1000.0,g
395,Hutspot met hertenbiefstuk,kruimige aardappel,1000.0,g
396,Hutspot met hertenbiefstuk,milde olijfolie,36.0,g
397,Hutspot met hertenbiefstuk,hutspotgroenten,1000.0,g
398,Hutspot met hertenbiefstuk,venkelzaad,2.0,g
399,Hutspot met hertenbiefstuk,ongezouten roomboter,75,g
400,Hutspot met hertenbiefstuk,water,100.0,g
401,Hutspot met hertenbiefstuk,melk,200.0,g
402,Hutspot met hertenbiefstuk,verse platte peterselie,15.0,g
425,Wilde rijstsoep met kip,middelgrote ui,200.0,g
426,Wilde rijstsoep met kip,knoflook,16.0,g
427,Wilde rijstsoep met kip,winterpeen,95.0,g
428,Wilde rijstsoep met kip,champignons,250.0,g
429,Wilde rijstsoep met kip,water,1500.0,g
430,Wilde rijstsoep met kip,verse tijm,0.6,g
431,Wilde rijstsoep met kip,laurierblaadje,5.0,g
432,Wilde rijstsoep met kip,paprikapoeder,2,g
433,Wilde rijstsoep met kip,uienpoeder,2.0,g
434,Wilde rijstsoep met kip,knoflookpoeder,2.0,g
435,Wilde rijstsoep met kip,wilde en witte rijst,300.0,g
436,Wilde rijstsoep met kip,scharrel kippenpoten naturel,590.0,g
437,Wilde rijstsoep met kip,kippenbouillonblokje,10.0,g
438,Wilde rijstsoep met kip,ongezouten roomboter,4,g
439,Wilde rijstsoep met kip,tarwebloem,24.0,g
440,Wilde rijstsoep met kip,halfvolle melk,250.0,g
441,"Zuurkoolstamppot met appel, kaneel en bruine suiker",kruimige aardappel,1000.0,g
442,"Zuurkoolstamppot met appel, kaneel en bruine suiker",rode ui,100.0,g
443,"Zuurkoolstamppot met appel, kaneel en bruine suiker",friszoete appel,100.0,g
444,"Zuurkoolstamppot met appel, kaneel en bruine suiker",spekreepjes,250.0,g
445,"Zuurkoolstamppot met appel, kaneel en bruine suiker",kaneelpoeder,4.0,g
446,"Zuurkoolstamppot met appel, kaneel en bruine suiker",bruinesuiker,500.0,g
447,"Zuurkoolstamppot met appel, kaneel en bruine suiker",zuurkool,520.0,g
448,"Zuurkoolstamppot met appel, kaneel en bruine suiker",ongebrande walnoten,100,g
449,"Zuurkoolstamppot met appel, kaneel en bruine suiker",ongezouten roomboter,15,g
450,Pompoencheesecake met speculaas,koelverse pompoenstukjes,400.0,g
451,Pompoencheesecake met speculaas,ongezouten roomboter,125,g
452,Pompoencheesecake met speculaas,bakkersspeculaas,260.0,g
453,Pompoencheesecake met speculaas,water,15.0,g
454,Pompoencheesecake met speculaas,zuivelspread naturel,600.0,g
455,Pompoencheesecake met speculaas,fijne kristalsuiker,75.0,g
456,Pompoencheesecake met speculaas,middelgroot ei,180.0,g
457,Franse appelflap (chausson aux pommes),appel,350.0,g
458,Franse appelflap (chausson aux pommes),kristalsuiker,100.0,g
459,Franse appelflap (chausson aux pommes),vers bladerdeeg,270.0,g
460,Franse appelflap (chausson aux pommes),bloem,500.0,g
461,Franse appelflap (chausson aux pommes),middelgroot ei,60.0,g
462,Franse appelflap (chausson aux pommes),water,50.0,g
463,Brownies met witte chocolade,ongezouten roomboter,200,g
464,Brownies met witte chocolade,pure chocolade 70%,300.0,g
465,Brownies met witte chocolade,vanillestokje,5.0,g
466,Brownies met witte chocolade,witte chocolade,200.0,g
467,Brownies met witte chocolade,witte basterdsuiker,190.0,g
468,Brownies met witte chocolade,middelgroot ei,180.0,g
469,Brownies met witte chocolade,patentbloem,200,g
470,Brownies met witte chocolade,zout,2.0,g
471,Meringuespoken,middelgroot ei,240.0,g
472,Meringuespoken,citroen,65.0,g
473,Meringuespoken,witte basterdsuiker,225.0,g
474,Meringuespoken,maizena,4.0,g
475,Zandkoekjes met glazuur 'bloedspetters',citroen,32.5,g
476,Zandkoekjes met glazuur 'bloedspetters' ,tarwebloem,250.0,g
477,Zandkoekjes met glazuur 'bloedspetters' ,zout,0.5,g
478,Zandkoekjes met glazuur 'bloedspetters' ,witte basterdsuiker,125.0,g
479,Zandkoekjes met glazuur 'bloedspetters' ,ongezouten roomboter,185,g
480,Zandkoekjes met glazuur 'bloedspetters' ,middelgroot ei,60.0,g
481,Zandkoekjes met glazuur 'bloedspetters' ,poedersuiker,50,g
482,Zandkoekjes met glazuur 'bloedspetters' ,bietensap,250.0,g
496,Mini pizza's met boerenkool en spek,spekreepjes,200.0,g
497,Mini pizza's met boerenkool en spek,venkelzaad,2.0,g
498,Mini pizza's met boerenkool en spek,verse boerenkool,150.0,g
499,Mini pizza's met boerenkool en spek,chilivlokken,1.0,g
500,Mini pizza's met boerenkool en spek,vers flammkuchendeeg,260.0,g
501,Mini pizza's met boerenkool en spek,crème fraîche,125.0,g
502,Mini pizza's met boerenkool en spek,geraspte Franse gruyère kaas 47+,150.0,g
503,Whipped blauwe kaas met knapperige rauwkost,Kaas,200.0,g
504,Whipped blauwe kaas met knapperige rauwkost,zuivelspread naturel,200.0,g
505,Whipped blauwe kaas met knapperige rauwkost,wittewijnazijn,30.0,g
506,Whipped blauwe kaas met knapperige rauwkost,traditionele olijfolie,12.0,g
507,Whipped blauwe kaas met knapperige rauwkost,verse tijm,4.0,g
508,Whipped blauwe kaas met knapperige rauwkost,witlof,250.0,g
509,Whipped blauwe kaas met knapperige rauwkost,bospeen,125.0,g
510,Whipped blauwe kaas met knapperige rauwkost,gekookte mini rode biet,250.0,g
511,Whipped blauwe kaas met knapperige rauwkost,bloemkool,125.0,g
512,Whipped blauwe kaas met knapperige rauwkost,bleekselderij,125.0,g
513,Fish pie,verse kabeljauwfilet,500.0,g
514,Fish pie,verse slagroom,300.0,g
515,Fish pie,ongezouten roomboter,40,g
516,Fish pie,bloem,40.0,g
517,Fish pie,mosterd,6,g
518,Fish pie,salade-ui,120.0,g
519,Fish pie,verse dille,15.0,g
520,Fish pie,citroen,65.0,g
521,Fish pie,middelgroot ei,60.0,g
522,Fish pie,diepvries deeg voor hartige taart,180.0,g
523,Kleine pasteitjes gevuld met aardappel,ongezouten roomboter,250,g
524,Kleine pasteitjes gevuld met aardappel,bloem,500.0,g
525,Kleine pasteitjes gevuld met aardappel,zout,3.0,g
526,Kleine pasteitjes gevuld met aardappel,koud water,70.0,g
527,Kleine pasteitjes gevuld met aardappel,middelgrote ui,200.0,g
528,Kleine pasteitjes gevuld met aardappel,Aardappel,500.0,g
529,Kleine pasteitjes gevuld met aardappel,knoflook,24.0,g
530,Kleine pasteitjes gevuld met aardappel,zonnebloemolie,24.0,g
531,Kleine pasteitjes gevuld met aardappel,diepvries tuinerwten,250.0,g
532,Kleine pasteitjes gevuld met aardappel,gemalen komijn,4.0,g
533,Kleine pasteitjes gevuld met aardappel,middelgroot ei,60.0,g
534,Kleine pasteitjes gevuld met aardappel,melk,12.0,g
548,Snelle risotto porcini,riso scotti buona idea risotto porcino,420.0,g
549,Snelle risotto porcini,paddenstoelen voor risotto,200,g
550,Snelle risotto porcini,champignons,400.0,g
551,Snelle risotto porcini,ongezouten roomboter,80,g
552,Snelle risotto porcini,parmezaanse kaas,80.0,g
553,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",Aardappel,1000.0,g
554,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",spekreepjes,250.0,g
555,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",halfvolle melk,150.0,g
556,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",ongezouten roomboter,50,g
557,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",basisreceptgeroosterdepompoenmetboerenkoolenwalnoten,125.0,g
558,Geroosterde pompoen met boerenkool en walnoten,flespompoen,2000.0,g
559,Geroosterde pompoen met boerenkool en walnoten,knoflook,100.0,g
560,Geroosterde pompoen met boerenkool en walnoten,milde olijfolie,120.0,g
561,Geroosterde pompoen met boerenkool en walnoten,verse boerenkool,150.0,g
562,Geroosterde pompoen met boerenkool en walnoten,ongebrande en ongezouten walnoten,200,g
563,"Rijst met vegaballetjes, boerenkool, knoflook en tomatensaus",knoflook,50.0,g
564,"Rijst met vegaballetjes, boerenkool, knoflook en tomatensaus",verse boerenkool,600.0,g
565,"Rijst met vegaballetjes, boerenkool, knoflook en tomatensaus",milde olijfolie,60.0,g
566,"Rijst met vegaballetjes, boerenkool, knoflook en tomatensaus",rijst,300.0,g
567,"Rijst met vegaballetjes, boerenkool, knoflook en tomatensaus",vegetarische balletjes,400.0,g
568,"Rijst met vegaballetjes, boerenkool, knoflook en tomatensaus",verse pastasaus napolitana,450.0,g
569,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",volkoren penne rigate,300.0,g
570,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",citroen,65.0,g
571,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",tahin,84.0,g
572,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",water,150.0,g
573,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",zout,1.0,g
574,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",verse platte peterselie,15.0,g
575,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",kikkererwten in blik,400.0,g
576,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",milde olijfolie,12.0,g
577,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",basisreceptgeroosterdepompoenmetboerenkoolenwalnoten,125.0,g
587,Kipfilet in bouillon ,water,1000.0,g
588,Kipfilet in bouillon ,kippenbouillontablet,5.0,g
589,Kipfilet in bouillon ,tomatenblokjes,400.0,g
590,Kipfilet in bouillon ,kipfilet,800.0,g
591,Groentesoep met kip en rijst,zilvervliesrijst,150.0,g
